table_name,tier_months,variant,has_partition,has_cluster,start_month,end_month,num_rows,size_bytes,size_gb
trips_2mo_none,2,none,False,False,2026-04,2026-05,8011235,1201852092,1.2019
trips_2mo_part,2,part,True,False,2026-04,2026-05,8011235,1201852092,1.2019
trips_2mo_clust,2,clust,False,True,2026-04,2026-05,8011235,1201852092,1.2019
trips_2mo_partclust,2,partclust,True,True,2026-04,2026-05,8011235,1201852092,1.2019
trips_4mo_none,4,none,False,False,2026-02,2026-05,15445133,2307871079,2.3079
trips_4mo_part,4,part,True,False,2026-02,2026-05,15445133,2307871079,2.3079
trips_4mo_clust,4,clust,False,True,2026-02,2026-05,15445133,2307871079,2.3079
trips_4mo_partclust,4,partclust,True,True,2026-02,2026-05,15445133,2307871079,2.3079
trips_6mo_none,6,none,False,False,2025-12,2026-05,23563536,3512203864,3.5122
trips_6mo_part,6,part,True,False,2025-12,2026-05,23563536,3512203864,3.5122
trips_6mo_clust,6,clust,False,True,2025-12,2026-05,23563536,3512203864,3.5122
trips_6mo_partclust,6,partclust,True,True,2025-12,2026-05,23563536,3512203864,3.5122
trips_8mo_none,8,none,False,False,2025-10,2026-05,32270007,4815794643,4.8158
trips_8mo_part,8,part,True,False,2025-10,2026-05,32270007,4815794643,4.8158
trips_8mo_clust,8,clust,False,True,2025-10,2026-05,32270007,4815794643,4.8158
trips_8mo_partclust,8,partclust,True,True,2025-10,2026-05,32270007,4815794643,4.8158
trips_10mo_none,10,none,False,False,2025-08,2026-05,40190312,5998169226,5.9982
trips_10mo_part,10,part,True,False,2025-08,2026-05,40190312,5998169226,5.9982
trips_10mo_clust,10,clust,False,True,2025-08,2026-05,40190312,5998169226,5.9982
trips_10mo_partclust,10,partclust,True,True,2025-08,2026-05,40190312,5998169226,5.9982
trips_12mo_none,12,none,False,False,2025-06,2026-05,48509830,7234806562,7.2348
trips_12mo_part,12,part,True,False,2025-06,2026-05,48509830,7234806562,7.2348
trips_12mo_clust,12,clust,False,True,2025-06,2026-05,48509830,7234806562,7.2348
trips_12mo_partclust,12,partclust,True,True,2025-06,2026-05,48509830,7234806562,7.2348
